Student_ID,Course_Code,Mark,Assessment_Date,Academic_Year,Semester,Attendance_Rate,Source_Campus_File_x,Campus_ID,Dataset_Type_x,Mark_scaled,Attendance_Rate_scaled,Campus_Name_Huye,Campus_Name_Kigali,Campus_Name_Musanze,Assessment_Type_CAT,Assessment_Type_Formative,Assessment_Type_Summative,Performance_Band,Full_Name,Gender,DOB,Program,Level,Intake_Year,Source_Campus_File_y,Campus_Name_x,Dataset_Type_y,Course_Title,Credits,Source_Campus_File,Campus_Name_y,Dataset_Type
HUY-26125,CS104,66.5,2023-06-16,2024/2025,1,0.8,Huyeassessmentscsv,HUY-26,assessments,0.0581209589153311,0.1097662002714234,1,0,0,0,1,0,Credit,Jean Uwimana,Female,2023-03-22,SOFTWARE ENG,1,2024,Huyestudentscsv,Huye,students,Machine Learning,4.0,Huyecoursescsv,Huye,courses
HUY-26118,CS103,62.0,2023-01-08,2024/2025,2,0.6,Huyeassessmentscsv,HUY-26,assessments,-0.4295810943778158,-1.1982810196297042,1,0,0,0,0,1,Pass,Eric Uwimana,Female,2023-03-22,INFORMATION TECH,2,2023,Huyestudentscsv,Huye,students,Cyber security,3.0,Huyecoursescsv,Huye,courses
HUY-26115,CS101,69.0,2023-01-08,2024/2025,1,0.6,Huyeassessmentscsv,HUY-26,assessments,0.3290665440781906,-1.1982810196297042,1,0,0,0,0,1,Credit,Alice Uwimana,Female,2023-03-22,DATA SCIENCE,3,2022,Huyestudentscsv,Huye,students,Programming,3.0,Huyecoursescsv,Huye,courses
HUY-26107,CS102,66.5,2023-01-08,2024/2025,2,0.8,Huyeassessmentscsv,HUY-26,assessments,0.0581209589153311,0.1097662002714234,1,0,0,0,1,0,Credit,Patrick Niyonsenga,Female,2023-12-31,SOFTWARE ENG,1,2022,Huyestudentscsv,Huye,students,Databases,4.0,Huyecoursescsv,Huye,courses
HUY-26105,CS101,58.0,2023-01-08,2024/2025,2,1.0,Huyeassessmentscsv,HUY-26,assessments,-0.863094030638391,1.4178134201725503,1,0,0,0,0,1,Pass,Bob Uwimana,Female,2023-03-22,INFORMATION TECH,3,2024,Huyestudentscsv,Huye,students,Programming,3.0,Huyecoursescsv,Huye,courses
HUY-26112,CS102,66.5,2023-01-08,2024/2025,2,1.0,Huyeassessmentscsv,HUY-26,assessments,0.0581209589153311,1.4178134201725503,1,0,0,0,1,0,Credit,Jean Mukamana,Male,2023-03-22,COMPUTER SCIENCE,1,2024,Huyestudentscsv,Huye,students,Databases,4.0,Huyecoursescsv,Huye,courses
HUY-26139,CS101,73.25,2023-01-08,2024/2025,1,0.8,Huyeassessmentscsv,HUY-26,assessments,0.7896740388550516,0.1097662002714234,1,0,0,1,0,0,Credit,Aline Nsabimana,Female,2023-03-22,DATA SCIENCE,3,2022,Huyestudentscsv,Huye,students,Programming,3.0,Huyecoursescsv,Huye,courses
HUY-26137,CS101,73.25,2023-01-08,2024/2025,1,0.8,Huyeassessmentscsv,HUY-26,assessments,0.7896740388550516,0.1097662002714234,1,0,0,1,0,0,Credit,Aline Nsabimana,Female,2023-03-22,SOFTWARE ENG,3,2023,Huyestudentscsv,Huye,students,Programming,3.0,Huyecoursescsv,Huye,courses
HUY-26107,CS103,62.0,2023-06-21,2024/2025,1,0.8,Huyeassessmentscsv,HUY-26,assessments,-0.4295810943778158,0.1097662002714234,1,0,0,1,0,0,Pass,Patrick Niyonsenga,Female,2023-12-31,SOFTWARE ENG,1,2022,Huyestudentscsv,Huye,students,Cyber security,3.0,Huyecoursescsv,Huye,courses
HUY-26103,CS104,66.5,2024-05-24,2024/2025,2,0.6,Huyeassessmentscsv,HUY-26,assessments,0.0581209589153311,-1.1982810196297042,1,0,0,0,1,0,Credit,Claudine Niyonsenga,Female,2023-03-22,COMPUTER SCIENCE,1,2024,Huyestudentscsv,Huye,students,Machine Learning,4.0,Huyecoursescsv,Huye,courses
